state_usps,bead_allocation_usd,gso_satellite_locations,bead_usd_per_gso_location
NJ,263689548.65,7750029,34.02
NY,664618251.49,14078313,47.21
FL,1169947392.7,22993764,50.88
OH,793688107.63,13387643,59.29
CA,1864136508.93,30762079,60.6
TX,3312616455.45,30680821,107.97
NC,1532999481.15,13143566,116.63
CO,826522650.41,6014318,137.43
WA,1227742066.3,7728964,158.85
MT,628973798.59,1415897,444.22
